LSOA code,lad_code,Year,lsoa_share,predicted_demand_points,latitude,longitude,allocation_tier,capacity_units_per_100
E01012405,E06000006,2026,0.0134255829982788,264.7881896491816,53.33732577222222,-2.7205702180451126,Reserve / spike watch,0.008267766117512038
E01012406,E06000006,2026,0.0150928616556347,297.67135735807034,53.32680783333333,-2.688466142857143,Reserve / spike watch,0.009294512590533427
E01012407,E06000006,2026,0.0175907161410662,346.93568854497585,53.32496510980392,-2.6934613484320558,Priority patrol and problem-solving,0.01083274572974039
E01012408,E06000006,2026,0.0182958063073073,360.8419411585386,53.32615738191282,-2.702080297998643,Priority patrol and problem-solving,0.011266955595113561
E01012409,E06000006,2026,0.0164721633491798,324.87485373216964,53.320351470588236,-2.69235975,Priority patrol and problem-solving,0.010143916583580194
E01012410,E06000006,2026,0.00554261346375,109.315072960311,53.380504,-2.7009171666666667,Routine baseline coverage,0.003413261964410311
E01012411,E06000006,2026,0.0099853258576459,196.9371726532988,53.37879122222222,-2.7102656666666665,Routine baseline coverage,0.006149180918902794
E01012412,E06000006,2026,0.0147563942409924,291.0353254173709,53.37020842222222,-2.7148867634615383,Reserve / spike watch,0.009087308635905643
E01012413,E06000006,2026,0.0156497504826797,308.6546855582673,53.37474520000001,-2.7135112107142856,Reserve / spike watch,0.009637456846738413
E01012414,E06000006,2026,0.0090663487758642,178.81250143080925,53.375588375,-2.706379,Routine baseline coverage,0.005583254837294389
E01012415,E06000006,2026,0.0049130057381434,96.89753475181048,53.31629,-2.7161264999999997,Routine baseline coverage,0.003025535828289311
E01012416,E06000006,2026,0.0101578563667327,200.33993297783877,53.32350823333333,-2.7379193506493507,Routine baseline coverage,0.006255428960231675
E01012417,E06000006,2026,0.0127518174365943,251.49974151629468,53.326046635714285,-2.7532422583333336,Routine baseline coverage,0.007852846625170025
E01012418,E06000006,2026,0.0045734598947764,90.20078801242693,53.32770642857143,-2.7285234,Routine baseline coverage,0.0028164361102739773
E01012419,E06000006,2026,0.0171240379108649,337.73155314619675,53.376936265151514,-2.7677255208333333,Priority patrol and problem-solving,0.010545355121829058
E01012420,E06000006,2026,0.0183571336386197,362.0514791753462,53.379228497894744,-2.77392155,Priority patrol and problem-solving,0.011304722300065372
E01012421,E06000006,2026,0.0045499352194328,89.73681887253076,53.37823725,-2.762101,Routine baseline coverage,0.0028019491033591786
E01012422,E06000006,2026,0.0172890401758606,340.9858364828553,53.3751712550505,-2.7751958958333334,Priority patrol and problem-solving,0.010646967106650801
E01012423,E06000006,2026,0.0115876276484229,228.5388238073595,53.3817646,-2.7692343095238092,Routine baseline coverage,0.0071359132237504615
E01012424,E06000006,2026,0.0179058662668385,353.1512868755402,53.364474262681156,-2.7367073224637686,Priority patrol and problem-solving,0.011026822034070993
E01012425,E06000006,2026,0.0160098935792095,315.75766488937165,53.36792554545454,-2.7329539513888887,Priority patrol and problem-solving,0.00985924080139628
E01012426,E06000006,2026,0.0094488177277971,186.35580598542705,53.37242541964285,-2.736358223809524,Routine baseline coverage,0.005818787539464273
E01012427,E06000006,2026,0.0142360738560062,280.77322411452906,53.368423299999996,-2.7422618000000005,Reserve / spike watch,0.008766884021958462
E01012429,E06000006,2026,0.0147202189244855,290.3218520010534,53.33207120238095,-2.7461401615384617,Reserve / spike watch,0.009065031088916138
E01012430,E06000006,2026,0.0179860026255539,354.73178891794976,53.342492025,-2.7338617920258623,Priority patrol and problem-solving,0.011076171747335037
E01012431,E06000006,2026,0.015036035287355,296.5505902984156,53.34029990878754,-2.7318914613526566,Reserve / spike watch,0.009259517676546841
