LSOA code,LSOA_name,longitude,latitude,predicted_demand_points,rolling_3_predicted_demand_points,ridge_predicted_demand_points,recent_12m_mean,uplift_vs_recent_mean,spike_z,allocation_tier,capacity_units_per_100
E01009802,Dudley 036B,-2.015625114836116,52.452505927563394,10.94032947789826,7.333333333333333,10.94032947789826,15.708333333333334,-0.3035334019375113,-0.41669389689343816,Routine baseline coverage,0.012218820467627586
E01009845,Dudley 041A,-2.1450318942908346,52.443247503123395,10.908960394709004,13.666666666666666,10.908960394709004,9.625,0.13339848256716924,0.16199041078250626,Routine baseline coverage,0.01218378558165839
E01009442,Birmingham 021C,-1.7949164861662257,52.53108446903659,10.885989706473692,14.166666666666666,10.885989706473692,10.291666666666666,0.057747987673557155,0.09564513102850149,Routine baseline coverage,0.012158130530214818
E01009438,Birmingham 012C,-1.7871021111751153,52.539653429569896,10.869245572815878,14.166666666666666,10.869245572815878,8.458333333333334,0.2850339593476898,0.3467628013530086,Routine baseline coverage,0.012139429670842701
E01010395,Walsall 011A,-2.0460402377345464,52.610184427808136,10.864710780323362,9.833333333333334,10.864710780323362,11.041666666666666,-0.016026193480148332,-0.030098069625353316,Routine baseline coverage,0.012134364940805463
E01009458,Birmingham 018D,-1.8447142943893295,52.54255335305335,10.858630231533708,11.166666666666666,10.858630231533708,14.958333333333334,-0.27407485917323404,-0.5236546702187803,Routine baseline coverage,0.012127573816812759
E01009691,Coventry 030D,-1.5286839221450936,52.40493753916949,10.799435576759914,11.0,10.799435576759914,13.725,-0.2131558778317003,-0.4113573654374637,Routine baseline coverage,0.012061461652568951
E01009670,Coventry 041D,-1.520552933910534,52.37845767063492,10.797045297475078,12.666666666666666,10.797045297475078,9.833333333333334,0.09800460652288923,0.22997334408459807,Routine baseline coverage,0.012058792044353962
E01010207,Solihull 024D,-1.7876413529922237,52.393611919348245,10.737356182240084,9.5,10.737356182240084,13.875,-0.22613649137008396,-0.4086241845452539,Routine baseline coverage,0.011992127636814743
E01009669,Coventry 042B,-1.5332448011904762,52.38328695656966,10.696672232864987,15.166666666666666,10.696672232864987,10.166666666666666,0.05213169503590054,0.04222982318077032,Routine baseline coverage,0.011946689345917506
E01009804,Dudley 036D,-2.0358402010884356,52.447191222142855,10.666263423692424,11.0,10.666263423692424,11.208333333333334,-0.04836311461480236,-0.090318854792117,Routine baseline coverage,0.011912726951945321
E01009687,Coventry 026E,-1.5441226976699771,52.40760455011141,10.6480158179867,10.0,10.6480158179867,11.375,-0.06391069731985055,-0.1634666956109528,Routine baseline coverage,0.011892346924220129
E01009419,Birmingham 001C,-1.8496816570767196,52.59821966398809,10.645265238749344,12.0,10.645265238749344,12.208333333333334,-0.1280328814676306,-0.1863716098947607,Routine baseline coverage,0.011889274911265572
E01009645,Coventry 014D,-1.533816527625232,52.41893515619048,10.582531627802776,9.166666666666666,10.582531627802776,9.25,0.14405747327597584,0.20533649967910766,Routine baseline coverage,0.011819210227108603
E01010162,Solihull 010C,-1.797487966883117,52.45409990804473,10.560618000228548,13.666666666666666,10.560618000228548,10.666666666666666,-0.009942062478573654,-0.012069939277986943,Routine baseline coverage,0.01179473576482985
E01008951,Birmingham 112A,-1.9355023232843138,52.42711625955882,10.543892972718119,12.0,10.543892972718119,11.558333333333332,-0.08776701029115042,-0.12695398177569514,Routine baseline coverage,0.011776056244356639
E01009730,Dudley 028D,-2.140386868907563,52.46989495829832,10.458568683928359,9.166666666666666,10.458568683928359,11.183333333333332,-0.06480756924634634,-0.1305286875689273,Routine baseline coverage,0.011680760927304601
E01010225,Solihull 030C,-1.8406461137254901,52.411015380882354,10.442971197363837,13.166666666666666,10.442971197363837,11.0,-0.050638982057833015,-0.07489342695589585,Routine baseline coverage,0.011663340712633448
E01010220,Solihull 030A,-1.8374141835016835,52.40750155942761,10.43142825898328,11.833333333333334,10.43142825898328,10.291666666666666,0.013580073747363253,0.01890445502672819,Routine baseline coverage,0.011650448862161683
E01010159,Solihull 010B,-1.7886703834632036,52.45101292212121,10.375612993728316,12.0,10.375612993728316,10.458333333333334,-0.007909514543906093,-0.010911171642303426,Routine baseline coverage,0.011588111004158302
E01009383,Birmingham 083D,-1.8763311773325086,52.44995533261595,10.204639725253577,7.5,10.204639725253577,16.833333333333332,-0.39378377869780734,-0.524615868877604,Routine baseline coverage,0.011397157735659694
E01010359,Walsall 039F,-1.9062615535353535,52.55670455404041,10.013786753912449,9.666666666666666,10.013786753912449,10.541666666666666,-0.050075564846249865,-0.07021515486477135,Routine baseline coverage,0.01118400161479134
E01009962,Sandwell 004A,-1.9963050627860237,52.55256983709957,10.00659744178565,8.333333333333334,10.00659744178565,12.333333333333334,-0.18865426147683928,-0.25508994203535973,Routine baseline coverage,0.011175972156963716
E01010507,Wolverhampton 021F,-2.170682730742945,52.58268635524691,9.977817375463315,9.666666666666666,9.977817375463315,14.391666666666666,-0.3066947973042282,-0.485935650066569,Routine baseline coverage,0.01114382884133968
E01010494,Wolverhampton 028E,-2.1770658525297617,52.575505729166665,9.961324116522121,10.333333333333334,9.961324116522121,10.458333333333334,-0.047522793639319105,-0.08910504119092705,Routine baseline coverage,0.011125408173997287
E01009429,Birmingham 003D,-1.8176034455895693,52.58450101510101,9.95663565863243,11.666666666666666,9.95663565863243,11.083333333333334,-0.10165693305572054,-0.1485942783654806,Routine baseline coverage,0.011120171821167155
E01009908,Dudley 035E,-2.1520386895833337,52.4529755043761,9.873648754871555,8.833333333333334,9.873648754871555,16.141666666666666,-0.3883129320678438,-0.6273012172072864,Routine baseline coverage,0.011027487036831644
E01009821,Dudley 014D,-2.1769805186868685,52.50228804646465,9.841619581287555,12.5,9.841619581287555,9.083333333333334,0.08348105482064816,0.08722081879042268,Routine baseline coverage,0.010991714922057588
E01009554,Coventry 034A,-1.533594847943723,52.39977972618532,9.823299717427432,9.333333333333334,9.823299717427432,11.5,-0.14580002457152763,-0.25316468339580445,Routine baseline coverage,0.010971254192063082
E01009724,Dudley 028C,-2.1310406590455577,52.46471316524531,9.804034861415426,9.333333333333334,9.804034861415426,13.666666666666666,-0.2826315955061883,-0.4989787331338206,Routine baseline coverage,0.010949738037780803
E01009698,Coventry 025B,-1.583825392647059,52.41429769166667,9.702678810435621,12.0,9.702678810435621,8.266666666666667,0.1737111464236638,0.2712105995545303,Routine baseline coverage,0.01083653748082026
E01010190,Solihull 024A,-1.7745428209523808,52.40358209714285,9.482147434215667,11.166666666666666,9.482147434215667,10.541666666666666,-0.10050775327598405,-0.1152153148169963,Routine baseline coverage,0.010590234725592076
E01010214,Solihull 027B,-1.7928471096880132,52.39077173045977,9.4030760202347,13.333333333333334,9.4030760202347,7.416666666666667,0.2678304746383864,0.22047514122571554,Routine baseline coverage,0.010501922996634851
E01009560,Coventry 040A,-1.5149162146464648,52.388324377460314,9.32959526972148,10.0,9.32959526972148,11.975,-0.220910624657914,-0.29110796537646705,Routine baseline coverage,0.0104198552581667
E01009793,Dudley 030A,-2.0282874,52.465509266993465,9.293470269500487,10.4,9.293470269500487,10.6,-0.12325752174523708,-0.18593782282499158,Routine baseline coverage,0.010379508676924786
E01009459,Birmingham 015B,-1.8290101769387754,52.54401454897959,9.243952652321836,7.666666666666667,9.243952652321836,11.083333333333334,-0.1659591591890074,-0.258275550393227,Routine baseline coverage,0.010324204412504508
E01010219,Solihull 021B,-1.8467239549019607,52.40655194677871,9.200561937124604,11.833333333333334,9.200561937124604,10.166666666666666,-0.09502669470905523,-0.1222777863643811,Routine baseline coverage,0.010275743042120004
E01010393,Walsall 014A,-2.0412677666336836,52.606243645863735,9.177233206236782,6.666666666666667,9.177233206236782,13.5,-0.32020494768616437,-0.3738107726325623,Routine baseline coverage,0.010249688107025794
E01009818,Dudley 014C,-2.1812779654995333,52.50551870295285,9.113014975702315,7.333333333333333,9.113014975702315,13.125,-0.3056750494702998,-0.6013835908014409,Routine baseline coverage,0.010177965310081282
E01010469,Wolverhampton 026C,-2.156804460345813,52.572339682274134,9.04616332058997,7.5,9.04616332058997,14.725,-0.38565953680203935,-0.5951604163940158,Routine baseline coverage,0.01010330134557896
E01010319,Walsall 010A,-1.9515988513265305,52.615288824217686,8.983333975910355,8.0,8.983333975910355,11.333333333333334,-0.2073528844784981,-0.39534426053310107,Routine baseline coverage,0.010033129740209139
E01009530,Coventry 014C,-1.5372157066195709,52.42985244956353,8.907771058361051,9.0,8.907771058361051,13.375,-0.333998425543099,-0.392067591992885,Routine baseline coverage,0.009948736511887237
E01009436,Birmingham 012B,-1.7957813300680272,52.54359055707483,8.866359807997632,9.0,8.866359807997632,9.333333333333334,-0.05003287771453946,-0.12723697827766298,Routine baseline coverage,0.009902485927336488
E01010334,Walsall 035D,-1.9444408362433865,52.56592277728175,8.863544378864882,7.0,8.863544378864882,12.166666666666666,-0.27148950310699593,-0.6271225942459489,Routine baseline coverage,0.009899341486103533
E01009682,Coventry 032C,-1.5667718539682538,52.40516854166667,8.863237373064281,8.166666666666666,8.863237373064281,12.416666666666666,-0.2861822249881115,-0.3761029198078474,Routine baseline coverage,0.009898998603490389
E01008956,Birmingham 112D,-1.936213145493633,52.42272753986568,8.81020485546248,7.333333333333335,8.81020485546248,13.141666666666666,-0.32959760135986194,-0.5135408737475623,Routine baseline coverage,0.009839768686070461
E01009896,Dudley 003A,-2.128852432843137,52.54136203788515,8.800773109129697,10.166666666666666,8.800773109129697,13.958333333333334,-0.36949685188324566,-0.4944731480424917,Routine baseline coverage,0.009829234742337843
E01009902,Dudley 003E,-2.1334677305555556,52.54764698619048,8.717920559010288,13.666666666666666,8.717920559010288,9.416666666666666,-0.07420312647678351,-0.08404075217033591,Routine baseline coverage,0.009736700012260532
E01010385,Walsall 028A,-1.879280110433702,52.58338898024892,8.714230280209847,7.0,8.714230280209847,10.833333333333334,-0.1956095125960141,-0.2174500696321383,Routine baseline coverage,0.009732578486100905
E01009808,Dudley 043B,-2.080043006374808,52.44259448146441,8.620802240826011,10.666666666666666,8.620802240826011,8.75,-0.01476545819131303,-0.019876578334459848,Routine baseline coverage,0.009628232411133074
E01010210,Solihull 023B,-1.8330521322128852,52.40136474484127,8.512897872958378,7.333333333333333,8.512897872958378,9.375,-0.09195756021777302,-0.16716514522747986,Routine baseline coverage,0.009507718298526958
E01010394,Walsall 014B,-2.0434668681880024,52.609335826777986,8.461738986135709,5.833333333333333,8.461738986135709,11.875,-0.2874325064306772,-0.6221725520283042,Routine baseline coverage,0.009450580965078939
E01010386,Walsall 028B,-1.8876125376344086,52.57962699623656,8.442964613635548,9.5,8.442964613635548,9.083333333333334,-0.07049930859058195,-0.11435874009712461,Routine baseline coverage,0.009429612612394929
E01009900,Dudley 008F,-2.141097105782313,52.52381935996599,8.416047022607266,6.166666666666667,8.416047022607266,13.416666666666666,-0.37271699210380627,-0.5778013086387807,Routine baseline coverage,0.009399549421623568
E01010437,Wolverhampton 001C,-2.113162811204482,52.632255756232496,8.286764013654292,10.166666666666666,8.286764013654292,8.291666666666666,-0.0005912747351607406,-0.0010490945529869902,Routine baseline coverage,0.009255158351948529
E01010173,Solihull 014B,-1.8024906794372295,52.42643861760462,8.2161096874569,8.5,8.2161096874569,12.75,-0.3555992401994589,-0.6087142345141215,Routine baseline coverage,0.009176247334797612
E01009720,Dudley 028A,-2.1379995800653595,52.465228992296915,8.17839493473019,5.5,8.17839493473019,12.041666666666666,-0.32082533414005343,-0.36763078297246005,Routine baseline coverage,0.009134125221978285
E01009666,Coventry 041A,-1.5294319656565658,52.38612180064935,8.146414248398262,9.333333333333334,8.146414248398262,10.166666666666666,-0.1987133526165643,-0.32193964684542437,Routine baseline coverage,0.009098407260694689
E01010392,Walsall 028D,-1.886493067063492,52.58789181269841,8.146046795616861,8.666666666666666,8.146046795616861,8.558333333333334,-0.04817369476726063,-0.08567204046736093,Routine baseline coverage,0.009097996867243987
E01010177,Solihull 013C,-1.8046484264285716,52.44341973928571,8.076988316176115,7.666666666666667,8.076988316176115,10.916666666666666,-0.2601232076785238,-0.46153159977905944,Routine baseline coverage,0.009020868188097851
E01010205,Solihull 018E,-1.8161188546516758,52.416958280004415,7.990119400066367,5.5,7.990119400066367,9.916666666666666,-0.1942736739428873,-0.2981073184566028,Routine baseline coverage,0.008923847738000187
E01009859,Dudley 040D,-2.130961895261438,52.4454740495915,7.801437669952506,8.166666666666666,7.801437669952506,11.166666666666666,-0.3013637907505218,-0.3833525992352795,Routine baseline coverage,0.008713116590420022
E01009825,Dudley 019A,-2.1636800275210084,52.49323179215686,7.626958184490971,6.0,7.626958184490971,12.625,-0.3958845002383389,-0.46532321738185184,Routine baseline coverage,0.008518247367107736
E01009799,Dudley 039D,-2.0564948208754212,52.44395091195286,7.582629956895668,6.666666666666667,7.582629956895668,12.333333333333334,-0.385192165657108,-0.5137317180344834,Routine baseline coverage,0.0084687389262761
E01009852,Dudley 041D,-2.1561682207792208,52.44303537607023,7.540399662532493,8.833333333333334,7.540399662532493,7.0,0.0771999517903561,0.1509391345067819,Routine baseline coverage,0.008421573583937813
E01010546,Wolverhampton 014A,-2.1842720371863797,52.60369448835125,7.423568979085057,8.833333333333334,7.423568979085057,9.975,-0.2557825584877136,-0.3274878388968646,Routine baseline coverage,0.008291090023178665
E01009722,Dudley 027B,-2.125015127419355,52.46406883072196,7.402352397192377,8.333333333333334,7.402352397192377,8.791666666666666,-0.1580262676179286,-0.24311460153849,Routine baseline coverage,0.008267394063600199
E01010202,Solihull 022B,-1.8072031267281106,52.40704961136713,7.366173584032292,8.0,7.366173584032292,5.75,0.28107366678822454,0.36792601544762266,Routine baseline coverage,0.008226987380819029
